recordIdentifier,title,date,senders,receivers,mentioned,genre
DE-611-HS-3586786,"Brief von Louis de Broglie an Werner Heisenberg, 16.12.1931",1931-12-16,"Broglie, Louis de (1892-1987)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3587309,"Brief von Peter J. W. Debye von Université de Liège. Institut de Chimie Générale an Werner Heisenberg, 10.11.1934",1934-11-10,"Debye, Peter J. W. (1884-1966) /Université de Liège. Institut de Chimie Générale","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3587314,"Brief von Peter J. W. Debye an Werner Heisenberg, 17.03.1935",1935-03-17,"Debye, Peter J. W. (1884-1966)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3587472,"Brief von Peter J. W. Debye von Kaiser-Wilhelm-Institut für Physikalische Forschung an Werner Heisenberg an Universität Leipzig . Institut für Theoretische Physik (Leipzig), 20.05.1935",1935-05-20,"Debye, Peter J. W. (1884-1966) /Kaiser-Wilhelm-Institut für Physikalische Forschung (1917-1945)","Heisenberg, Werner (1901-1976)/ Universität Leipzig (Leipzig). Institut für Theoretische Physik",,Brief
DE-611-HS-3592301,"Brief von Arnold Eucken von Institut für Physikalische Chemie (Göttingen) an Werner Heisenberg, 14.07.1934",1934-07-14,"Eucken, Arnold (1884-1950) /Institut für Physikalische Chemie (Göttingen)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3593123,"Brief von Enrico Fermi von Istituto di Fisica G. Marconi (Rom) an Werner Heisenberg, 30.01.1934",1934-01-30,"Fermi, Enrico (1901-1954) /Istituto di Fisica G. Marconi (Rom)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3593127,"Brief von Enrico Fermi von Istituto di Fisica G. Marconi (Rom) an Werner Heisenberg, 08.02.1934",1934-02-08,"Fermi, Enrico (1901-1954) /Istituto di Fisica G. Marconi (Rom)","Heisenberg, Werner (1901-1976)","Joliot-Curie, Frédéric (1900-1958)",Brief
DE-611-HS-3593505,"Brief von R. H. Fowler von Cavendish Laboratory an Werner Heisenberg an Universität Leipzig . Institut für Theoretische Physik (Leipzig), 30.11.1933",1933-11-30,"Fowler, R. H. (1889-1944) /Cavendish Laboratory (1873-)","Heisenberg, Werner (1901-1976)/ Universität Leipzig (Leipzig). Institut für Theoretische Physik","Rutherford, Ernest (1871-1937)/ Weyl, Hermann (1885-1955)",Brief
DE-611-HS-3593515,"Brief von R. H. Fowler von Cavendish Laboratory an Werner Heisenberg, 17.07.1934",1934-07-17,"Fowler, R. H. (1889-1944) /Cavendish Laboratory (1873-)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3593601,"Brief von George Gamow an Werner Heisenberg, 15.02.1934",1934-02-15,"Gamow, George (1904-1968)","Heisenberg, Werner (1901-1976)","Cockcroft, John (1897-1967)/ Dirac, P. A. M. (1902-1984)/ Aston, Francis William (1877-1945)/ Bainbridge, Kenneth (1904-1996)/ Joliot-Curie, Frédéric (1900-1958)/ Pauli, Wolfgang (1900-1958)",Brief
