recordIdentifier,title,date,senders,receivers,mentioned,genre
DE-611-HS-3624770,"Brief von Karl Wirtz an Clemens Schaefer, 08.12.1934",1934-12-08,"Wirtz, Karl (1910-1994)","Schaefer, Clemens (1878-1968) [vermutlich]",,Brief
DE-611-HS-3624773,"Brief von Karl F. Bonhoeffer von Physikalisch-Chemisches Institut (Leipzig) an Karl Wirtz, 07.12.1934",1934-12-07,"Bonhoeffer, Karl F. (1899-1957) /Physikalisch-Chemisches Institut (Leipzig)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624776,"Brief von Clemens Schaefer von Physikalisches Institut Breslau an Karl Wirtz, 04.12.1934",1934-12-04,"Schaefer, Clemens (1878-1968) /Physikalisches Institut Breslau","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624932,"Brief von Carl Wirtz an Karl Wirtz, 03.12.1934",1934-12-03,"Wirtz, Carl","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624943,"Brief von Karl Wirtz an Notgemeinschaft der Deutschen Wissenschaft, 27.11.1934",1934-11-27,"Wirtz, Karl (1910-1994)",Notgemeinschaft der Deutschen Wissenschaft (1920-1951),,Brief
DE-611-HS-3624947,"Brief von Karl Wirtz an Clemens Schaefer, 29.11.1934",1934-11-29,"Wirtz, Karl (1910-1994)","Schaefer, Clemens (1878-1968) [vermutlich]",,Brief
DE-611-HS-3624963,"Brief von Karl Wirtz an Johannes Stark an Notgemeinschaft der Deutschen Wissenschaft, 27.11.1934",1934-11-27,"Wirtz, Karl (1910-1994)","Stark, Johannes (1874-1957)/ Notgemeinschaft der Deutschen Wissenschaft (1920-1951)",,Brief
DE-611-HS-3624965,"Brief von Johannes Stark von Notgemeinschaft der Deutschen Wissenschaft an Karl Wirtz, 22.11.1934",1934-11-22,"Stark, Johannes (1874-1957) /Notgemeinschaft der Deutschen Wissenschaft (1920-1951)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624970,"Brief von Karl Wirtz an Franz Schmidt + Haensch GmbH & Co. (Berlin), 24.09.1934",1934-09-24,"Wirtz, Karl (1910-1994)",Franz Schmidt + Haensch GmbH & Co. (Berlin),,Brief
DE-611-HS-3624983,"Brief von Frank Matossi an Karl Wirtz, 13.12.1934",1934-12-13,"Matossi, Frank (1902-1968)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3625021,"Brief von Ottilie Matossi-Riechemeier an Karl Wirtz, 12.12.1934",1934-12-12,"Matossi-Riechemeier, Ottilie","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3625050,"Brief von Carl Zeiss (Jena) an Karl Wirtz an Universität  / Univeritätslaboratorium für theoretische Physik (Halle), 08.01.1935",1935-01-08,Carl Zeiss (Jena) (1846-1945),"Wirtz, Karl (1910-1994)/ Universität (Halle) / Univeritätslaboratorium für theoretische Physik",,Brief
DE-611-HS-3625051,"Brief von Karl Wirtz an Carl Zeiss (Jena), 07.09.1934",1934-09-07,"Wirtz, Karl (1910-1994)",Carl Zeiss (Jena) (1846-1945),,Brief
DE-611-HS-3625054,"Brief von Karl Wirtz an Carl Zeiss (Jena), 10.07.1934",1934-07-10,"Wirtz, Karl (1910-1994)",Carl Zeiss (Jena) (1846-1945),,Brief
DE-611-HS-3625057,"Brief von Karl Wirtz an Carl Zeiss (Jena), 18.12.1934",1934-12-18,"Wirtz, Karl (1910-1994)",Carl Zeiss (Jena) (1846-1945),,Brief
DE-611-HS-3625061,"Brief von Carl Zeiss (Jena) an Karl Wirtz, 20.07.1934",1934-07-20,Carl Zeiss (Jena) (1846-1945),"Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3625064,"Brief von Carl Zeiss (Jena) an Karl Wirtz, 28.08.1934",1934-08-28,Carl Zeiss (Jena) (1846-1945),"Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3625067,"Brief von Carl Zeiss (Jena) an Karl Wirtz, 05.07.1934",1934-07-05,Carl Zeiss (Jena) (1846-1945),"Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3625198,"Brief von Postamt (Halle, Saale) an Karl Wirtz, 15.12.1934",1934-12-15,"Postamt (Halle, Saale)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3625259,"Brief von Clemens Schaefer von Physikalisches Institut Breslau an Karl Wirtz, 01.06.1934",1934-06-01,"Schaefer, Clemens (1878-1968) /Physikalisches Institut Breslau","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3625308,"Brief von Adolf Smekal von Universität  / Univeritätslaboratorium für theoretische Physik (Halle) an Karl Wirtz, 07.08.1934",1934-08-07,"Smekal, Adolf (1895-1959) /Universität (Halle) / Univeritätslaboratorium für theoretische Physik","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3625324,"Brief von Adolf Smekal von Universität  / Univeritätslaboratorium für theoretische Physik (Halle) an Karl Wirtz an Physikalisches Institut Breslau, 24.02.1934",1934-02-24,"Smekal, Adolf (1895-1959) /Universität (Halle) / Univeritätslaboratorium für theoretische Physik","Wirtz, Karl (1910-1994)/ Physikalisches Institut Breslau",,Brief
DE-611-HS-3625370,"Brief von Clemens Schaefer an Karl Wirtz, 10.09.1934",1934-09-10,"Schaefer, Clemens (1878-1968)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3625829,"Brief von Kurator Vereinigte Friedrichs-Universität Halle-Wittenberg an Karl Wirtz, 13.04.1934",1934-04-13,"Vereinigte Friedrichs-Universität Halle-Wittenberg, Kurator","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3625889,"Brief von Clemens Schaefer an Karl Wirtz, 13.04.1935",1935-04-13,"Schaefer, Clemens (1878-1968)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3625904,"Brief von Justo Weiler an Clemens Schaefer, 21.12.1932",1932-12-21,"Weiler, Justo","Schaefer, Clemens (1878-1968)",,Brief
DE-611-HS-3625916,"Brief von Clemens Schaefer an Justo Weiler, 19.12.1932",1932-12-19,"Schaefer, Clemens (1878-1968)","Weiler, Justo",,Brief
DE-611-HS-3625920,"Brief von Justo Weiler an Clemens Schaefer, 12.12.1932",1932-12-12,"Weiler, Justo","Schaefer, Clemens (1878-1968)",,Brief
DE-611-HS-3626157,"Brief von Hugo Wierzejewski an Karl Wirtz, 06.09.1933",1933-09-06,"Wierzejewski, Hugo","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3626204,"Brief von Clemens Schaefer an Karl Wirtz, 18.12.1935",1935-12-18,"Schaefer, Clemens (1878-1968)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3498565,"Brief von Theodor Bersin an Werner Heisenberg, 21.07.1920 [mutmaßl. 21.7.1942]",1920-07-21,"Bersin, Theodor","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3715598,"Brief von Arnold Berliner an Werner Heisenberg, 25.08.1935 [Jahr von anderer Hand ergänzt]",1935-08-25,"Berliner, Arnold (1862-1942)","Heisenberg, Werner (1901-1976)","Schrödinger, Erwin (1887-1961)/ Pauli, Wolfgang (1900-1958)/ Weisskopf, Victor Frederick (1908-2002)",Brief
DE-611-HS-3719765,"Brief von Wolf Friedrich von Nationalsozialistischer Deutscher Studentbund. Kreisleitung IV an Werner Heisenberg, 19.11.1933",1933-11-19,"Friedrich, Wolf (1908-1952) /Nationalsozialistischer Deutscher Studentbund. Kreisleitung IV","Heisenberg, Werner (1901-1976)","Knick, Artur (1883-1944)",Brief
DE-611-HS-3720112,"Brief von Paul Goerens an Werner Heisenberg, 25.04.1934",1934-04-25,"Goerens, Paul","Heisenberg, Werner (1901-1976)","Bakhuis Roozeboom, Hendrik Willem (1854-1907)",Brief
DE-611-HS-3720125,"Brief von Werner Heisenberg an Paul Goerens an Verein Deutscher Eisenhüttenleute, 18.04.1934",1934-04-18,"Heisenberg, Werner (1901-1976) [vermutlich]","Goerens, Paul/ Verein Deutscher Eisenhüttenleute (1881-2002)",,Brief
DE-611-HS-3723261,"Brief von Otto Petersen von Verein Deutscher Eisenhüttenleute an Werner Heisenberg, 05.06.1934",1934-06-05,"Petersen, Otto (1874-1953) /Verein Deutscher Eisenhüttenleute (1881-2002)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3723265,"Brief von Otto Petersen von Verein Deutscher Eisenhüttenleute an Werner Heisenberg, 05.06.1934",1934-06-05,"Petersen, Otto (1874-1953) /Verein Deutscher Eisenhüttenleute (1881-2002)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3723270,"Brief von Otto Petersen von Verein Deutscher Eisenhüttenleute an Werner Heisenberg, 05.05.1934",1934-05-05,"Petersen, Otto (1874-1953) /Verein Deutscher Eisenhüttenleute (1881-2002)","Heisenberg, Werner (1901-1976)","Goerens, Paul",Brief
DE-611-HS-3723284,"Brief von Otto Petersen von Verein Deutscher Eisenhüttenleute an Werner Heisenberg, 17.04.1934",1934-04-17,"Petersen, Otto (1874-1953) /Verein Deutscher Eisenhüttenleute (1881-2002)","Heisenberg, Werner (1901-1976)","Goerens, Paul",Brief
DE-611-HS-3723301,"Brief von Otto Petersen von Verein Deutscher Eisenhüttenleute an Werner Heisenberg, 07.02.1934",1934-02-07,"Petersen, Otto (1874-1953) /Verein Deutscher Eisenhüttenleute (1881-2002)","Heisenberg, Werner (1901-1976)","Goerens, Paul",Brief
DE-611-HS-3724861,"Brief von Ebbe Rasmussen und Unbekannt an Werner Heisenberg, 13.06.1935",1935-06-13,"Rasmussen, Ebbe (1901-1959) /Unbekannt","Heisenberg, Werner (1901-1976)","Kramers, Hendrik Anthony (1894-1952)/ Klein, Oskar (1894-1977)",Brief
DE-611-HS-3724902,"Brief von Hans Rau an Werner Heisenberg, 04.07.1934",1934-07-04,"Rau, Hans (1881-)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3724964,"Brief von Max Reich von Georg-August-Universität Göttingen. Mathematisch-Naturwissenschaftliche Fakultät an Werner Heisenberg, 09.02.1934",1934-02-09,"Reich, Max (1874-1941) /Georg-August-Universität Göttingen. Mathematisch-Naturwissenschaftliche Fakultät","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3877703,"Brief von Yoshio Nishina, Yoshio Fujioka und Yoshikatsu Sugiura an Werner Heisenberg, 06.10.1932",1932-10-06,"Nishina, Yoshio /Fujioka, Yoshio (1903-1976) [vermutlich] /Sugiura, Yoshikatsu","Heisenberg, Werner (1901-1976) [vermutlich]","Umeda, Kwai [vermutlich]",Brief
